광역시도,시도,구시군,선거인수,투표수,당선 정당,2등 정당,당선자 득표수,2등 득표수,계,무효투표수,기권수
강원도,강릉시,강릉시,184371,122855,무소속,더불어민주당,49618,47088,121474,1381,61516
강원도,동해시태백시삼척시정선군,동해시,76543,49535,미래통합당,더불어민주당,26690,20493,48958,577,27008
강원도,동해시태백시삼척시정선군,삼척시,58270,39729,미래통합당,더불어민주당,20685,17373,39279,450,18541
강원도,동해시태백시삼척시정선군,정선군,33231,21795,미래통합당,더불어민주당,11147,9632,21464,331,11436
강원도,동해시태백시삼척시정선군,태백시,37712,24171,미래통합당,더불어민주당,13082,10029,23885,286,13541
강원도,속초시인제군고성군양양군,고성군,24504,17865,미래통합당,더불어민주당,9540,7325,17430,435,6639
강원도,속초시인제군고성군양양군,속초시,70022,43970,미래통합당,더불어민주당,22665,19540,43476,494,26052
강원도,속초시인제군고성군양양군,양양군,24916,16941,미래통합당,더불어민주당,9380,6919,16707,234,7975
강원도,속초시인제군고성군양양군,인제군,27135,18269,미래통합당,더불어민주당,8603,8419,17872,397,8866
강원도,원주시갑,원주시,152303,94018,더불어민주당,미래통합당,45224,38299,93116,902,58285
강원도,원주시을,원주시,141827,91625,더불어민주당,미래통합당,48772,39089,90509,1116,50202
강원도,춘천시철원군화천군양구군갑,춘천시,192353,131779,더불어민주당,미래통합당,66932,57298,130410,1369,60574
강원도,춘천시철원군화천군양구군을,양구군,18960,13158,미래통합당,더불어민주당,6441,6278,12909,249,5802
강원도,춘천시철원군화천군양구군을,철원군,38883,24994,미래통합당,더불어민주당,13966,10092,24416,578,13889
강원도,춘천시철원군화천군양구군을,춘천시,46191,31338,더불어민주당,미래통합당,15389,14998,30827,511,14853
강원도,춘천시철원군화천군양구군을,화천군,21425,14942,미래통합당,더불어민주당,7678,6593,14579,363,6483
강원도,홍천군횡성군영월군평창군,영월군,35114,23548,미래통합당,더불어민주당,13205,9021,23274,274,11566
강원도,홍천군횡성군영월군평창군,평창군,37586,24890,미래통합당,더불어민주당,11994,11864,24621,269,12696
강원도,홍천군횡성군영월군평창군,홍천군,60611,39858,미래통합당,더불어민주당,16620,12367,39054,804,20753
강원도,홍천군횡성군영월군평창군,횡성군,41381,28911,미래통합당,더불어민주당,14156,10982,28235,676,12470
경기도,고양시갑,고양시덕양구,217323,144830,정의당,미래통합당,56516,47003,143491,1339,72493
경기도,고양시병,고양시일산동구,224741,149247,더불어민주당,미래통합당,80068,65981,147541,1706,75494
경기도,고양시을,고양시덕양구,227546,155449,더불어민주당,미래통합당,80739,55032,153866,1583,72097
경기도,고양시정,고양시일산서구,235439,162225,더불어민주당,미래통합당,85943,72188,160869,1356,73214
경기도,광명시갑,광명시,134409,91285,더불어민주당,미래통합당,43019,33380,90250,1035,43124
경기도,광명시을,광명시,131277,91602,더불어민주당,미래통합당,58130,27671,90691,911,39675
경기도,광주시갑,광주시,156890,95752,더불어민주당,미래통합당,53221,40469,94784,968,61138
경기도,광주시을,광주시,155614,93174,더불어민주당,미래통합당,52468,38910,92242,932,62440
경기도,구리시,구리시,168689,111590,더불어민주당,미래통합당,64668,43456,110263,1327,57099
경기도,군포시,군포시,232665,160765,더불어민주당,미래통합당,91256,64167,158934,1831,71900
경기도,김포시갑,김포시,165807,111816,더불어민주당,미래통합당,58613,42660,110829,987,53991
경기도,김포시을,김포시,187295,118595,더불어민주당,미래통합당,63193,52200,117389,1206,68700
경기도,남양주시갑,남양주시,169352,104185,더불어민주당,미래통합당,59779,39318,103144,1041,65167
경기도,남양주시병,남양주시,213448,144575,더불어민주당,미래통합당,71776,67490,143323,1252,68873
경기도,남양주시을,남양주시,194104,117404,더불어민주당,미래통합당,68660,36526,116208,1196,76700
경기도,동두천시연천군,동두천시,80677,47856,미래통합당,더불어민주당,24305,22325,47234,622,32821
경기도,동두천시연천군,연천군,38284,25577,미래통합당,더불어민주당,14472,10237,25097,480,12707
경기도,부천시갑,부천시,138380,82208,더불어민주당,미래통합당,48002,29266,81118,1090,56172
경기도,부천시병,부천시,201857,129904,더불어민주당,미래통합당,77577,41642,128105,1799,71953
경기도,부천시을,부천시,220045,148949,더불어민주당,미래통합당,80889,58341,147319,1630,71096
경기도,부천시정,부천시,150459,88552,더불어민주당,미래통합당,49552,32094,87322,1230,61907
경기도,성남시분당구갑,성남시분당구,208104,157419,미래통합당,더불어민주당,78134,77006,156051,1368,50685
경기도,성남시분당구을,성남시분당구,195239,143734,더불어민주당,미래통합당,68387,64342,142645,1089,51505
경기도,성남시수정구,성남시수정구,205299,129551,더불어민주당,미래통합당,76830,45617,127383,2168,75748
경기도,성남시중원구,성남시중원구,192279,122114,더불어민주당,미래통합당,65947,50315,120736,1378,70165
경기도,수원시갑,수원시장안구,197868,131560,더불어민주당,미래통합당,76875,51428,129921,1639,66308
경기도,수원시무,수원시권선구,229748,150216,더불어민주당,미래통합당,82002,56793,148505,1711,79532
경기도,수원시병,수원시팔달구,154623,96070,더불어민주당,미래통합당,50369,40374,94903,1167,58553
경기도,수원시을,수원시권선구,213294,140857,더불어민주당,미래통합당,84500,53334,139240,1617,72437
경기도,수원시정,수원시영통구,201639,139932,더불어민주당,미래통합당,79557,52585,138535,1397,61707
경기도,시흥시갑,시흥시,205939,134026,더불어민주당,미래통합당,68653,59595,132745,1281,71913
경기도,시흥시을,시흥시,185880,104604,더불어민주당,미래통합당,69270,32700,103351,1253,81276
경기도,안산시단원구갑,안산시단원구,132915,76381,더불어민주당,미래통합당,42009,31086,75359,1022,56534
경기도,안산시단원구을,안산시단원구,127185,83176,더불어민주당,미래통합당,42150,38497,82123,1053,44009
경기도,안산시상록구갑,안산시상록구,167327,101953,더불어민주당,미래통합당,59021,38367,100791,1162,65374
경기도,안산시상록구을,안산시상록구,129225,76660,더불어민주당,미래통합당,43599,30747,75464,1196,52565
경기도,안성시,안성시,155021,98475,더불어민주당,미래통합당,49721,45554,96647,1828,56546
경기도,안양시동안구갑,안양시동안구,145827,102910,더불어민주당,미래통합당,56345,40490,101821,1089,42917
경기도,안양시동안구을,안양시동안구,122068,92555,더불어민주당,미래통합당,49736,38327,91842,713,29513
경기도,안양시만안구,안양시만안구,210881,141903,더불어민주당,미래통합당,75266,59438,140399,1504,68978
경기도,양주시,양주시,184804,112865,더불어민주당,미래통합당,69905,40414,111589,1276,71939
경기도,여주시양평군,양평군,101727,69732,미래통합당,더불어민주당,39129,26761,68987,745,31995
경기도,여주시양평군,여주시,95778,60124,미래통합당,더불어민주당,31446,24813,59381,743,35654
경기도,오산시,오산시,182471,110578,더불어민주당,미래통합당,61926,44834,109183,1395,71893
경기도,용인시갑,용인시처인구,212846,133134,미래통합당,더불어민주당,69826,60357,131392,1742,79712
경기도,용인시병,용인시수지구,225216,165398,더불어민주당,미래통합당,84492,78562,163872,1526,59818
경기도,용인시을,용인시기흥구,219373,150616,더불어민주당,미래통합당,89697,57671,149278,1338,68757
경기도,용인시정,용인시기흥구,206940,150335,더불어민주당,미래통합당,79794,65358,149247,1088,56605
경기도,의왕시과천시,과천시,48899,37489,미래통합당,더불어민주당,17317,15140,37152,337,11410
경기도,의왕시과천시,의왕시,139682,99587,더불어민주당,미래통합당,43798,34239,98693,894,40095
경기도,의정부시갑,의정부시,178374,104773,더불어민주당,미래통합당,54806,38644,103345,1428,73601
경기도,의정부시을,의정부시,207183,129338,더불어민주당,미래통합당,71573,49640,127836,1502,77845
경기도,이천시,이천시,179016,110100,미래통합당,더불어민주당,56544,49682,108749,1351,68916
경기도,파주시갑,파주시,219983,141143,더불어민주당,미래통합당,85058,52122,139597,1546,78840
경기도,파주시을,파주시,151068,90578,더불어민주당,미래통합당,48569,39588,89381,1197,60490
경기도,평택시갑,평택시,213863,126228,더불어민주당,미래통합당,62564,59063,124573,1655,87635
경기도,평택시을,평택시,214797,126373,미래통합당,더불어민주당,59491,57540,124786,1587,88424
경기도,포천시가평군,가평군,55094,35180,미래통합당,더불어민주당,18968,14624,34552,628,19914
경기도,포천시가평군,포천시,128897,75631,더불어민주당,미래통합당,36251,35803,74427,1204,53266
경기도,하남시,하남시,227800,152136,더불어민주당,미래통합당,76572,50141,150811,1325,75664
경기도,화성시갑,화성시,199428,119449,더불어민주당,미래통합당,58689,52291,118198,1251,79979
경기도,화성시병,화성시,219651,139281,더불어민주당,미래통합당,88793,47377,137769,1512,80370
경기도,화성시을,화성시,224298,154360,더불어민주당,미래통합당,98612,52802,152805,1555,69938
경상남도,거제시,거제시,197349,130531,미래통합당,더불어민주당,65746,49136,129183,1348,66818
경상남도,김해시갑,김해시,219863,139008,더불어민주당,미래통합당,70094,61890,137266,1742,80855
경상남도,김해시을,김해시,223167,145744,더불어민주당,미래통합당,71634,60003,144200,1544,77423
경상남도,밀양시의령군함안군창녕군,밀양시,93329,61581,미래통합당,더불어민주당,40844,18813,60635,946,31748
경상남도,밀양시의령군함안군창녕군,의령군,24740,17376,미래통합당,더불어민주당,11747,4710,16876,500,7364
경상남도,밀양시의령군함안군창녕군,창녕군,55177,37340,미래통합당,더불어민주당,26688,9415,36685,655,17837
경상남도,밀양시의령군함안군창녕군,함안군,55881,36770,미래통합당,더불어민주당,22931,12560,36109,661,19111
경상남도,사천시남해군하동군,남해군,39430,28232,미래통합당,더불어민주당,18921,8222,27649,583,11198
경상남도,사천시남해군하동군,사천시,94821,63497,미래통합당,더불어민주당,34981,25530,62472,1025,31324
경상남도,사천시남해군하동군,하동군,41667,30787,미래통합당,더불어민주당,17718,11460,30062,725,10880
경상남도,산청군함양군거창군합천군,거창군,53599,38976,무소속,미래통합당,17755,13147,38307,669,14623
경상남도,산청군함양군거창군합천군,산청군,32103,23297,무소속,미래통합당,9136,8411,22815,482,8806
경상남도,산청군함양군거창군합천군,함양군,35175,25500,무소속,미래통합당,10635,7843,25019,481,9675
경상남도,산청군함양군거창군합천군,합천군,41197,29891,미래통합당,무소속,12660,11597,29198,693,11306
경상남도,양산시갑,양산시,153416,101497,미래통합당,더불어민주당,57301,42260,100529,968,51919
경상남도,양산시을,양산시,135524,91238,더불어민주당,미래통합당,44218,42695,90335,903,44286
경상남도,진주시갑,진주시,160833,111197,미래통합당,더불어민주당,60112,42241,109781,1416,49636
경상남도,진주시을,진주시,129775,86523,미래통합당,더불어민주당,50217,28779,85074,1449,43252
경상남도,창원시마산합포구,창원시마산합포구,152336,104034,미래통합당,더불어민주당,64706,35124,102761,1273,48302
경상남도,창원시마산회원구,창원시마산회원구,164936,115805,미래통합당,더불어민주당,64581,48018,114454,1351,49131
경상남도,창원시성산구,창원시성산구,182830,131968,미래통합당,정의당,61782,45567,130600,1368,50862
경상남도,창원시의창구,창원시의창구,221849,152046,미래통합당,더불어민주당,88718,55153,150248,1798,69803
경상남도,창원시진해구,창원시진해구,155692,105737,미래통합당,더불어민주당,52000,50595,103542,2195,49955
경상남도,통영시고성군,고성군,45880,31352,미래통합당,더불어민주당,19753,10296,30732,620,14528
경상남도,통영시고성군,통영시,109768,73732,미래통합당,더불어민주당,40561,29939,72638,1094,36036
경상북도,경산시,경산시,224371,141092,미래통합당,더불어민주당,88684,37810,139095,1997,83279
경상북도,경주시,경주시,221512,148761,미래통합당,무소속,77102,29076,146373,2388,72751
경상북도,고령군성주군칠곡군,고령군,28891,19452,미래통합당,더불어민주당,13112,3282,19073,379,9439
경상북도,고령군성주군칠곡군,성주군,39925,27228,미래통합당,더불어민주당,16986,4941,26717,511,12697
경상북도,고령군성주군칠곡군,칠곡군,96828,59069,미래통합당,더불어민주당,35138,16765,58236,833,37759
경상북도,구미시갑,구미시,177679,113587,미래통합당,더불어민주당,73339,35324,111834,1753,64092
경상북도,구미시을,구미시,162426,98212,미래통합당,더불어민주당,54457,34442,96495,1717,64214
경상북도,군위군의성군청송군영덕군,군위군,22147,16518,미래통합당,더불어민주당,13213,2623,16207,311,5629
경상북도,군위군의성군청송군영덕군,영덕군,33560,22984,미래통합당,더불어민주당,16996,5253,22551,433,10576
경상북도,군위군의성군청송군영덕군,의성군,48524,35889,미래통합당,더불어민주당,28789,5769,35205,684,12635
경상북도,군위군의성군청송군영덕군,청송군,23391,16560,미래통합당,더불어민주당,12534,3424,16233,327,6831
경상북도,김천시,김천시,120702,81909,미래통합당,더불어민주당,59993,16914,80505,1404,38793
경상북도,상주시문경시,문경시,63102,42331,미래통합당,무소속,23394,11049,41478,853,20771
경상북도,상주시문경시,상주시,87635,61158,미래통합당,더불어민주당,42164,11769,59691,1467,26477
경상북도,안동시예천군,안동시,137615,94479,미래통합당,더불어민주당,40094,25325,92893,1586,43136
경상북도,안동시예천군,예천군,47268,31180,미래통합당,더불어민주당,18089,6968,30621,559,16088
경상북도,영주시영양군봉화군울진군,봉화군,28998,20668,미래통합당,무소속,11718,4494,20300,368,8330
경상북도,영주시영양군봉화군울진군,영양군,15371,11156,미래통합당,무소속,6866,1988,10942,214,4215
경상북도,영주시영양군봉화군울진군,영주시,91153,62390,미래통합당,무소속,28625,17337,61421,969,28763
경상북도,영주시영양군봉화군울진군,울진군,43086,29937,미래통합당,더불어민주당,20817,5209,29176,761,13149
경상북도,영천시청도군,영천시,90652,62162,미래통합당,더불어민주당,37315,14918,61258,904,28490
경상북도,영천시청도군,청도군,39348,28329,미래통합당,더불어민주당,20265,5184,27832,497,11019
경상북도,포항시남구울릉군,울릉군,8608,5904,미래통합당,더불어민주당,3454,1711,5833,71,2704
경상북도,포항시남구울릉군,포항시남구,198012,130074,미래통합당,더불어민주당,71340,44257,128133,1941,67938
경상북도,포항시북구,포항시북구,229712,154613,미래통합당,더불어민주당,98905,47924,152677,1936,75099
광주광역시,광산구갑,광산구,139213,88264,더불어민주당,민생당,67482,11570,86765,1499,50949
광주광역시,광산구을,광산구,182793,117137,더불어민주당,민생당,96808,8606,115172,1965,65656
광주광역시,동구남구갑,남구,139730,94110,더불어민주당,민생당,71626,19112,92733,1377,45620
광주광역시,동구남구을,동구,128725,86577,더불어민주당,무소속,61587,12804,85210,1367,42148
광주광역시,북구갑,북구,155882,103390,더불어민주당,무소속,59011,38397,102097,1293,52492
광주광역시,북구을,북구,208908,139020,더불어민주당,민생당,108229,15281,137297,1723,69888
광주광역시,서구갑,서구,131513,85304,더불어민주당,민생당,69285,8474,84308,996,46209
광주광역시,서구을,서구,121208,81972,더불어민주당,민생당,61279,15754,80811,1161,39236
대구광역시,달서구갑,달서구,145177,96442,미래통합당,더불어민주당,54700,25523,94943,1499,48735
대구광역시,달서구병,달서구,133291,85612,미래통합당,더불어민주당,46988,23257,84216,1396,47679
대구광역시,달서구을,달서구,203446,140408,미래통합당,더불어민주당,90762,38969,138848,1560,63038
대구광역시,달성군,달성군,208115,133611,미래통합당,더불어민주당,88846,35649,131938,1673,74504
대구광역시,동구갑,동구,124323,82213,미래통합당,더불어민주당,56444,21594,81103,1110,42110
대구광역시,동구을,동구,172158,112039,미래통합당,더불어민주당,66461,33644,110154,1885,60119
대구광역시,북구갑,북구,160316,107834,미래통합당,더불어민주당,52916,27395,106214,1620,52482
대구광역시,북구을,북구,207826,139043,미래통합당,더불어민주당,84378,45891,136788,2255,68783
대구광역시,서구,서구,157355,100090,미래통합당,더불어민주당,66574,17580,98717,1373,57265
대구광역시,수성구갑,수성구,207130,155155,미래통합당,더불어민주당,92018,60462,153850,1305,51975
대구광역시,수성구을,수성구,149960,105066,무소속,미래통합당,40015,37165,103895,1171,44894
대구광역시,중구남구,남구,133305,84766,미래통합당,더불어민주당,57050,25177,83575,1191,48539
대구광역시,중구남구,중구,67769,45170,미래통합당,더불어민주당,29420,14555,44547,623,22599
대전광역시,대덕구,대덕구,151336,97617,더불어민주당,미래통합당,47652,44617,96470,1147,53719
대전광역시,동구,동구,193872,121792,더불어민주당,미래통합당,61345,57194,120248,1544,72080
대전광역시,서구갑,서구,213330,136521,더불어민주당,미래통합당,74978,57720,134880,1641,76809
대전광역시,서구을,서구,188715,124653,더불어민주당,미래통합당,70708,50140,122964,1689,64062
대전광역시,유성구갑,유성구,148801,99185,더불어민주당,미래통합당,55463,39588,98116,1069,49616
대전광역시,유성구을,유성구,134730,97283,더불어민주당,미래통합당,53785,35629,96293,990,37447
대전광역시,중구,중구,205922,133503,더불어민주당,미래통합당,66306,63498,131800,1703,72419
부산광역시,금정구,금정구,210078,144002,미래통합당,더불어민주당,77048,57459,142175,1827,66076
부산광역시,기장군,기장군,134292,86811,미래통합당,더불어민주당,42634,38154,85896,915,47481
부산광역시,남구갑,남구,120446,82729,미래통합당,더불어민주당,43805,34778,81764,965,37717
